"names","Formula","aicc","k","logL","delta.aic"
"model1374","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + privNumb + maoriNumb","735.537685659455","12","-354.662459851004","0"
"model2103","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + privNumb + maoriNumb","736.373574556484","14","-352.675995911336","0.835888897029122"
"model1932","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + privNumb + maoriNumb","736.477249050124","13","-353.938624525062","0.939563390669036"
"model786","Surv(Erad_Time, Event) ~ area + SS + Buffer + privNumb + maoriNumb","737.294269990575","11","-356.717557530499","1.75658433112017"
"model849","Surv(Erad_Time, Event) ~ area + Buffer + landing + privNumb + maoriNumb","737.303486991128","11","-356.722166030775","1.76580133167283"
"model1375","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + privNumb + maoriNumb + area:privNumb","737.369123440046","15","-351.94543128524","1.8314377805907"
"model1940","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + private + privNumb + maoriNumb","737.40931936179","13","-354.404659680895","1.87163370233532"
"model1652","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + privNumb + maoriNumb","737.463428569372","13","-354.431714284686","1.92574290991706"
"model845","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + maoriNumb","737.672866473907","9","-359.211433236953","2.13518081445193"
"model1486","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + privNumb + maoriNumb","737.758268245065","12","-355.772751143809","2.2205825856098"
"model2104","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + privNumb + maoriNumb + area:privNumb","737.87212427414","17","-349.68606213707","2.33443861468527"
"model374","Surv(Erad_Time, Event) ~ area + Buffer + private + maoriNumb","738.00142354708","8","-360.504160049402","2.46373788762537"
"model1933","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + privNumb + maoriNumb + area:privNumb","738.025062344382","16","-351.027129712337","2.48737668492731"
"model1478","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + privNumb + maoriNumb","738.242886234425","12","-356.015060138489","2.70520057497015"
"model2332","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maori + maoriNumb + private:maori","738.24525420236","14","-353.611835734273","2.70756854290482"
"model1485","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + maori + maoriNumb + private:maori","738.318695394034","11","-357.229770232228","2.7810097345789"
"model2276","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + maori + privNumb + maoriNumb","738.339725991455","14","-353.659071628821","2.8020403320005"
"model850","Surv(Erad_Time, Event) ~ area + Buffer + landing + privNumb + maoriNumb + area:privNumb","738.400231256256","14","-353.689324261221","2.86254559680071"
"model1488","Surv(Erad_Time, Event) ~ area + Buffer + landing + maori + privNumb + maoriNumb","738.464977442448","12","-356.1261057425","2.92729178299282"
"model1942","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + maori + privNumb + maoriNumb","738.467535511323","13","-354.933767755662","2.92984985186865"
"model2113","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + maori + privNumb + maoriNumb","738.658668405821","14","-353.818542836004","3.12098274636617"
"model1653","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + privNumb + maoriNumb + area:privNumb","738.715627932235","16","-351.372412506263","3.17794227277977"
"model1146","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + privNumb + maoriNumb","738.732275980487","12","-356.25975501152","3.19459032103214"
"model378","Surv(Erad_Time, Event) ~ area + Buffer + privNumb + maoriNumb","738.856701237338","10","-358.659119849438","3.31901557788319"
"model2272","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + privNumb + maoriNumb","739.004060144619","14","-353.991238705403","3.46637448516424"
"model2334","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + privNumb + maoriNumb","739.010378641387","15","-352.766058885911","3.47269298193214"
"model1142","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + private + maoriNumb","739.134367374014","10","-358.797952917776","3.59668171455962"
"model1386","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + private + maoriNumb + public:private","739.239112814828","11","-357.689978942625","3.70142715537315"
"model1939","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + private + maori + maoriNumb + private:maori","739.251033427593","12","-356.519133735073","3.71334776813785"
"model2280","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + private + maori + privNumb + maoriNumb","739.302777240683","14","-354.140597253435","3.76509158122803"
"model2338","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + maori + privNumb + maoriNumb","739.316015987203","15","-352.918877558819","3.77833032774856"
"model782","Surv(Erad_Time, Event) ~ area + SS + Buffer + private + maoriNumb","739.408939143401","9","-360.079469571701","3.87125348394659"
"model878","Surv(Erad_Time, Event) ~ area + Buffer + maori + privNumb + maoriNumb","739.486898086367","11","-357.813871578395","3.9492124269118"
"model868","Surv(Erad_Time, Event) ~ area + Buffer + public + privNumb + maoriNumb","739.558000810798","11","-357.849422940611","4.02031515134365"
"model597","Surv(Erad_Time, Event) ~ dist + area + Buffer + privNumb + maoriNumb","739.576760000566","11","-357.858802535494","4.03907434111079"
"model2110","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + private + maori + maoriNumb + private:maori","739.625461807156","13","-355.512730903578","4.08777614770145"
"model1648","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + private + maoriNumb","739.652045386895","11","-357.896445228659","4.11435972743982"
"model1083","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + privNumb + maoriNumb","739.655389641174","12","-356.721311841864","4.11770398171939"
"model1401","Surv(Erad_Time, Event) ~ area + SS + Buffer + private + privNumb + maoriNumb","739.663814311078","12","-356.725524176816","4.12612865162362"
"model2021","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + maori + maoriNumb + private:maori","739.744234148962","12","-356.765734095757","4.20654848950687"
"model1764","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + private + privNumb + maoriNumb","739.760760338436","13","-355.580380169218","4.22307467898111"
"model2111","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + private + privNumb + maoriNumb","739.786290140566","14","-354.382353703377","4.2486044811111"
"model1943","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + maori + privNumb + maoriNumb + area:privNumb","739.787666721167","16","-351.908431900729","4.24998106171176"
"model1938","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + private + maori + maoriNumb","739.815609197698","11","-357.97822713406","4.27792353824304"
"model1925","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maoriNumb + public:private","739.890292237577","12","-356.838763140065","4.35260657812239"
"model1484","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + maori + maoriNumb","739.911158152032","10","-359.186348306785","4.37347249257687"
"model876","Surv(Erad_Time, Event) ~ area + Buffer + private + privNumb + maoriNumb","739.9303942853","11","-358.035619677861","4.39270862584488"
"model1471","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + maoriNumb + public:private","739.946234196378","11","-358.0435396334","4.40854853692326"
"model875","Surv(Erad_Time, Event) ~ area + Buffer + private + maori + maoriNumb + private:maori","739.9743607784","10","-359.217949619969","4.43667511894535"
"model2031","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + maori + privNumb + maoriNumb","740.042793832616","13","-355.721396916308","4.50510817316103"
"model1393","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + privNumb + maoriNumb","740.09240833425","12","-356.939821188401","4.5547226747949"
"model2273","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + privNumb + maoriNumb + area:privNumb","740.101103183068","17","-350.800551591534","4.563417523613"
"model2027","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + maori + privNumb + maoriNumb","740.117521493952","13","-355.758760746976","4.57983583449709"
"model1370","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + private + maoriNumb","740.145366493099","10","-359.303452477319","4.60768083364417"
"model2109","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + private + maori + maoriNumb","740.15843768833","12","-356.972835865442","4.62075202887524"
"model1479","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + privNumb + maoriNumb + area:privNumb","740.209161522284","15","-353.365450326359","4.6714758628292"
"model1763","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + private + maori + maoriNumb + private:maori","740.217304397323","12","-357.002269219938","4.67961873786783"
"model2335","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + privNumb + maoriNumb + area:privNumb","740.282310950246","18","-349.60782214179","4.7446252907913"
"model1766","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + maori + privNumb + maoriNumb","740.343596554795","13","-355.871798277397","4.80591089534005"
"model1147","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + privNumb + maoriNumb + area:privNumb","740.430638587311","15","-353.476188858873","4.89295292785619"
"model1489","Surv(Erad_Time, Event) ~ area + Buffer + landing + maori + privNumb + maoriNumb + area:privNumb","740.433052518835","15","-353.477395824635","4.89536685938003"
"model1748","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + private + maoriNumb","740.438137130801","11","-358.289491100612","4.90045147134583"
"model1671","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + privNumb + maoriNumb","740.446979958885","13","-355.923489979442","4.90929429943003"
"model2023","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + privNumb + maoriNumb","740.450676053196","13","-355.925338026598","4.91299039374155"
"model1749","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + private + maoriNumb + public:private","740.453520370457","12","-357.120377206505","4.91583471100205"
"model2277","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + maori + privNumb + maoriNumb + area:privNumb","740.46318842996","17","-350.98159421498","4.92550277050543"
"model1941","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + private + privNumb + maoriNumb + area:privNumb","740.487921414765","16","-352.258559247529","4.95023575531025"
"model1757","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + privNumb + maoriNumb + area:privNumb","740.584676171583","16","-352.306936625937","5.04699051212776"
"model1079","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + private + maoriNumb","740.586263716504","10","-359.523901089021","5.04857805704933"
"model369","Surv(Erad_Time, Event) ~ area + Buffer + public + maoriNumb","740.671060025016","8","-361.83897828837","5.13337436556128"
"model1487","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + privNumb + maoriNumb + area:privNumb","740.683082849832","15","-353.602410990134","5.14539719037748"
"model1403","Surv(Erad_Time, Event) ~ area + SS + Buffer + maori + privNumb + maoriNumb","740.695232642929","12","-357.241233342741","5.15754698347439"
"model1756","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + privNumb + maoriNumb","740.739955207189","13","-356.069977603594","5.20226954773375"
"model2342","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + private + maori + privNumb + maoriNumb","740.743374974014","15","-353.632557052224","5.20568931455932"
"model593","Surv(Erad_Time, Event) ~ dist + area + Buffer + private + maoriNumb","740.755034898672","9","-360.752517449336","5.21734923921736"
"model2339","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + maori + privNumb + maoriNumb + area:privNumb","740.814041358134","18","-349.873687345734","5.27635569867903"
"model1509","Surv(Erad_Time, Event) ~ area + Buffer + public + maori + privNumb + maoriNumb","740.847882176968","12","-357.317558109761","5.31019651751365"
"model874","Surv(Erad_Time, Event) ~ area + Buffer + private + maori + maoriNumb","740.957782005677","9","-360.853891002838","5.42009634622207"
"model1400","Surv(Erad_Time, Event) ~ area + SS + Buffer + private + maori + maoriNumb + private:maori","741.086118922554","11","-358.613481996488","5.54843326309867"
"model2114","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + maori + privNumb + maoriNumb + area:privNumb","741.099649400628","17","-351.299824700314","5.56196374117337"
"model1678","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + private + maori + maoriNumb + private:maori","741.148657930926","12","-357.46794598674","5.61097227147127"
"model2018","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + maori + maoriNumb","741.174580571722","11","-358.657712821072","5.63689491226728"
"model1172","Surv(Erad_Time, Event) ~ dist + area + Buffer + private + maori + maoriNumb + private:maori","741.196037862284","11","-358.668441466353","5.65835220282895"
"model1957","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + private + maori + maoriNumb + private:maori","741.217836250996","12","-357.502535146775","5.68015059154163"
"model1470","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + maoriNumb","741.222341337375","10","-359.841939899457","5.68465567792066"
"model2336","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + privNumb + maoriNumb + public:private","741.280287804835","16","-352.654742442564","5.74260214538037"
"model1959","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + private + privNumb + maoriNumb","741.291442358257","13","-356.345721179129","5.75375669880248"
"model2024","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + privNumb + maoriNumb + area:privNumb","741.354368727067","16","-352.69178290368","5.81668306761253"
"model1963","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + maori + privNumb + maoriNumb","741.372369197422","13","-356.386184598711","5.83468353796684"
"model2192","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + private + maori + maoriNumb + private:maori","741.385603612175","13","-356.392801806088","5.84791795272065"
"model2112","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + private + privNumb + maoriNumb + area:privNumb","741.400511050278","17","-351.450255525139","5.86282539082345"
"model2270","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + maoriNumb + private:maori","741.401193051606","13","-356.400596525803","5.86350739215095"
"model2198","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + maori + privNumb + maoriNumb","741.408477484045","14","-355.193447375116","5.8707918245899"
"model333","Surv(Erad_Time, Event) ~ area + SS + Buffer + maoriNumb","741.42801861933","8","-362.217457585527","5.89033295987565"
"model2329","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maori + maoriNumb","741.478081694386","13","-356.439040847193","5.94039603493138"
"model1513","Surv(Erad_Time, Event) ~ area + Buffer + private + maori + privNumb + maoriNumb","741.479046031491","12","-357.633140037022","5.94136037203634"
"model2340","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + maori + privNumb + maoriNumb + public:maori","741.500931758907","16","-352.765064419599","5.96324609945202"
"model2381","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + privNumb + maoriNumb","741.604023010567","15","-354.062881070501","6.06633735111257"
"model2282","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + private + maori + privNumb + maoriNumb + private:maori","741.604440759908","15","-354.063089945171","6.06675510045272"
"model860","Surv(Erad_Time, Event) ~ area + Buffer + public + private + maoriNumb","741.623986894459","9","-361.186993447229","6.08630123500416"
"model1165","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + privNumb + maoriNumb","741.631286917103","12","-357.709260479828","6.09360125764795"
"model777","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + maoriNumb","741.673578640718","9","-361.211789320359","6.13589298126317"
"model1681","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + maori + privNumb + maoriNumb","741.673850374332","13","-356.536925187166","6.13616471487762"
"model1503","Surv(Erad_Time, Event) ~ area + Buffer + public + private + maori + maoriNumb + private:maori","741.736381439268","11","-358.938613254845","6.19869577981342"
"model2391","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maori + privNumb + maoriNumb","741.766915721154","16","-352.898056400723","6.22923006169924"
"model2028","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + maori + privNumb + maoriNumb + area:privNumb","741.795905339003","16","-352.912551209648","6.25821967954835"
"model1505","Surv(Erad_Time, Event) ~ area + Buffer + public + private + privNumb + maoriNumb","741.865377659534","12","-357.826305851043","6.32769200007886"
"model2274","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + privNumb + maoriNumb + public:private","741.933801611744","15","-354.227770371089","6.39611595228916"
"model2029","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + maori + privNumb + maoriNumb + public:maori","741.951486486186","14","-355.464951876187","6.41380082673163"
"model1762","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + private + maori + maoriNumb","741.96725138403","11","-359.054048227226","6.42956572457479"
"model1399","Surv(Erad_Time, Event) ~ area + SS + Buffer + private + maori + maoriNumb","742.001810706343","10","-360.231674583941","6.46412504688783"
"model1679","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + private + privNumb + maoriNumb","742.165733897114","13","-356.782866948557","6.62804823765919"
"model861","Surv(Erad_Time, Event) ~ area + Buffer + public + private + maoriNumb + public:private","742.198484581431","10","-360.330011521485","6.66079892197627"
"model2033","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + maori + privNumb + maoriNumb + private:maori","742.203824828867","14","-355.591121047527","6.66613916941219"
"model115","Surv(Erad_Time, Event) ~ area + Buffer + maoriNumb","742.215836501383","7","-363.724356606856","6.67815084192864"
"model552","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + maoriNumb","742.27883063658","9","-361.51441531829","6.74114497712515"
"model1967","Surv(Erad_Time, Event) ~ area + SS + Buffer + private + maori + privNumb + maoriNumb","742.322678487965","13","-356.861339243983","6.78499282851021"
"model1767","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + maori + privNumb + maoriNumb + area:privNumb","742.342852239916","16","-353.186024660104","6.80516658046122"
"model2269","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + maoriNumb + public:maori","742.37358947633","13","-356.886794738165","6.83590381687566"
"model2337","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + privNumb + maoriNumb + area:privNumb + public:private","742.448990828362","19","-349.388674518659","6.91130516890746"
"model2194","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + private + privNumb + maoriNumb","742.470846376231","14","-355.724631821209","6.93316071677623"
"model2128","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + private + maori + maoriNumb + private:maori","742.537390383433","13","-356.968695191717","6.9997047239782"
"model1158","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + private + maoriNumb + public:private","742.587011938513","11","-359.363928504468","7.04932627905794"
"model1955","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + private + maori + maoriNumb + public:private","742.590890798471","12","-358.189062420512","7.05320513901631"
"model379","Surv(Erad_Time, Event) ~ area + Buffer + privNumb + maoriNumb + area:privNumb","742.619854226357","13","-357.009927113178","7.08216856690217"
"model2278","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + maori + privNumb + maoriNumb + public:maori","742.623463719861","15","-354.572601425148","7.0857780604058"
"model1765","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + private + privNumb + maoriNumb + area:privNumb","742.650365040724","16","-353.339781060508","7.11267938126923"
"model2279","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + maori + privNumb + maoriNumb + area:privNumb + public:maori","742.688081252633","18","-350.810707292983","7.15039559317825"
"model840","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + maoriNumb","742.698208359806","9","-361.724104179903","7.16052270035118"
"model787","Surv(Erad_Time, Event) ~ area + SS + Buffer + privNumb + maoriNumb + area:privNumb","742.715457711311","14","-355.846937488749","7.17777205185587"
"model2330","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maori + maoriNumb + public:private","742.720932017682","14","-355.849674641934","7.18324635822682"
"model2382","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + privNumb + maoriNumb + area:privNumb","742.758169352757","18","-350.845751343045","7.22048369330264"
"model2019","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + maori + maoriNumb + public:private","742.762203140398","12","-358.274718591476","7.22451748094306"
"model2199","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + maori + privNumb + maoriNumb + area:privNumb","742.763286254884","17","-352.131643127442","7.22560059542877"
"model1663","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + private + maoriNumb","742.781395916511","11","-359.461120493467","7.24371025705602"
"model1175","Surv(Erad_Time, Event) ~ dist + area + Buffer + maori + privNumb + maoriNumb","742.801056858522","12","-358.294145450537","7.2633711990668"
"model2275","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + privNumb + maoriNumb + area:privNumb + public:private","742.811073984054","18","-350.872203658694","7.27338832459964"
"model1171","Surv(Erad_Time, Event) ~ dist + area + Buffer + private + maori + maoriNumb","742.830323408123","10","-360.645930934831","7.29263774866843"
"model1677","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + private + maori + maoriNumb","742.834105821697","11","-359.48747544606","7.29642016224216"
"model1954","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + private + maori + maoriNumb","742.858642189036","11","-359.499743629729","7.32095652958071"
"model1173","Surv(Erad_Time, Event) ~ dist + area + Buffer + private + privNumb + maoriNumb","742.861101122534","12","-358.324167582543","7.32341546307885"
"model2281","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + private + maori + privNumb + maoriNumb + area:privNumb","742.919609277425","17","-352.209804638713","7.38192361797053"
"model1501","Surv(Erad_Time, Event) ~ area + Buffer + public + private + maori + maoriNumb + public:private","742.961554504378","11","-359.5511997874","7.42386884492328"
"model2032","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + maori + privNumb + maoriNumb + area:privNumb","742.981257038847","16","-353.505227059569","7.44357137939198"
"model2392","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maori + privNumb + maoriNumb + area:privNumb","743.003198304076","19","-349.665778256516","7.4655126446213"
"model866","Surv(Erad_Time, Event) ~ area + Buffer + public + maori + maoriNumb","743.026376976587","9","-361.888188488294","7.48869131713229"
"model2344","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + private + maori + privNumb + maoriNumb + private:maori","743.0305918952","16","-353.529894487746","7.49290623574484"
"model785","Surv(Erad_Time, Event) ~ area + SS + Buffer + maori + maoriNumb","743.068351194338","9","-361.909175597169","7.53066553488338"
"model2030","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + maori + privNumb + maoriNumb + area:privNumb + public:maori","743.072445573011","17","-352.286222786506","7.53475991355651"
"model2130","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + private + privNumb + maoriNumb","743.229221390751","14","-356.103819328469","7.69153573129597"
"model2341","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + maori + privNumb + maoriNumb + area:privNumb + public:maori","743.240719614027","19","-349.784538911491","7.70303395457188"
"model869","Surv(Erad_Time, Event) ~ area + Buffer + public + privNumb + maoriNumb + area:privNumb","743.260540264044","14","-356.119478765115","7.72285460458886"
"model1500","Surv(Erad_Time, Event) ~ area + Buffer + public + private + maori + maoriNumb","743.261713302524","10","-360.861625882031","7.72402764306935"
"model2304","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + maori + privNumb + maoriNumb","743.311571842159","14","-356.144994554173","7.77388618270402"
"model2134","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + public + maori + privNumb + maoriNumb","743.341652927716","14","-356.160035096951","7.80396726826098"
"model2268","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + maoriNumb + public:private","743.369229202714","13","-357.384614601357","7.8315435432595"
"model2202","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + private + maori + privNumb + maoriNumb","743.38621043431","14","-356.182313850248","7.84852477485481"
"model2095","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maoriNumb","743.442346752138","12","-358.614790397346","7.904661092683"
"model1961","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + private + privNumb + maoriNumb + public:private","743.460691331545","14","-356.219554298866","7.92300567209065"
"model1157","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + private + maoriNumb","743.528933648109","10","-360.995236054824","7.99124798865432"
"model2025","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + privNumb + maoriNumb + public:private","743.624771368018","14","-356.301594317103","8.08708570856345"
"model2195","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + private + privNumb + maoriNumb + area:privNumb","743.649189751524","17","-352.574594875762","8.11150409206903"
"model2343","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + private + maori + privNumb + maoriNumb + area:privNumb","743.651472181138","18","-351.292402757236","8.11378652168355"
"model2305","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + maori + privNumb + maoriNumb + area:privNumb","743.693585944798","17","-352.596792972399","8.15590028534359"
"model1783","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + private + privNumb + maoriNumb","743.759102641401","13","-357.5795513207","8.22141698194616"
"model2026","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + private + privNumb + maoriNumb + area:privNumb + public:private","743.784611280235","17","-352.642305640117","8.24692562077985"
"model2383","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + privNumb + maoriNumb + public:private","743.833018561942","16","-353.931107821117","8.29533290248764"
"model1511","Surv(Erad_Time, Event) ~ area + Buffer + public + maori + privNumb + maoriNumb + public:maori","743.836891933477","13","-357.618445966739","8.29920627402248"
"model1515","Surv(Erad_Time, Event) ~ area + Buffer + private + maori + privNumb + maoriNumb + private:maori","743.839759279309","13","-357.619879639655","8.30207361985424"
"model2284","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + private + maori + privNumb + maoriNumb","743.839834991408","14","-356.409126128798","8.30214933195339"
"model1394","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + privNumb + maoriNumb + area:privNumb","743.887407999714","15","-355.204573565075","8.34972234025952"
"model770","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + maoriNumb","743.889010351627","9","-362.319505175813","8.35132469217194"
"model948","Surv(Erad_Time, Event) ~ SS + Buffer + landing + privNumb + maoriNumb","743.925775473682","11","-360.033310272052","8.38808981422744"
"model867","Surv(Erad_Time, Event) ~ area + Buffer + public + maori + maoriNumb + public:maori","743.975105444311","10","-361.218321952925","8.43741978485582"
"model2035","Surv(Erad_Time, Event) ~ area + Buffer + public + private + maori + privNumb + maoriNumb","743.978115989829","13","-357.689057994914","8.44043033037383"
"model2394","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + private + maori + privNumb + maoriNumb + public:maori","743.978414053082","17","-352.739207026541","8.44072839362764"
"model1791","Surv(Erad_Time, Event) ~ dist + area + Buffer + private + maori + privNumb + maoriNumb","743.984078271634","13","-357.692039135817","8.44639261217912"
"model2385","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + private + maori + privNumb + maoriNumb + private:maori","744.081536268498","16","-354.055366674395","8.54385060904303"
"model1965","Surv(Erad_Time, Event) ~ area + SS + Buffer + public + maori + privNumb + maoriNumb + public:maori","744.093568489001","14","-356.535992877594","8.55588282954625"
"model2196","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + private + privNumb + maoriNumb + public:private","744.163412789368","15","-355.342575959902","8.62572712991346"
"model1781","Surv(Erad_Time, Event) ~ dist + area + Buffer + public + private + maori + maoriNumb + private:maori","744.244968654742","12","-359.016101348648","8.70728299528719"
"model2366","Surv(Erad_Time, Event) ~ dist + area + Buffer + landing + public + private + maori + privNumb + maoriNumb","744.299091841063","15","-355.410415485749","8.76140618160798"
