"names","Formula","aicc","k","logL","delta.aic"
"model8","Surv(Erad_Time, Event) ~ private","786.546983244385","3","-390.193491622193","51.0092975849303"
"model1049","Surv(Erad_Time, Event) ~ landing + public + private + maori + maoriNumb + private:maori","786.588467359784","10","-382.525002910661","51.0507817003287"
"model195","Surv(Erad_Time, Event) ~ public + private + maori + public:private","786.600660551734","6","-387.014615990153","51.0629748922792"
"model525","Surv(Erad_Time, Event) ~ landing + private + maori + privNumb + private:maori","786.604931436607","9","-383.677465718303","51.0672457771519"
"model424","Surv(Erad_Time, Event) ~ area + maori + privNumb + maoriNumb","786.60564901025","10","-382.533593735894","51.0679633507949"
"model133","Surv(Erad_Time, Event) ~ area + private + maoriNumb","786.653568081529","7","-385.943222396929","51.1158824220746"
"model1047","Surv(Erad_Time, Event) ~ landing + public + private + maori + maoriNumb + public:private","786.656057267113","10","-382.558797864326","51.1183716076583"
"model897","Surv(Erad_Time, Event) ~ area + landing + public + privNumb + maoriNumb","786.695698163198","11","-381.41827161681","51.1580125037427"
"model48","Surv(Erad_Time, Event) ~ public + private","786.739072150922","4","-389.235307887541","51.201386491467"
"model540","Surv(Erad_Time, Event) ~ public + private + privNumb + maoriNumb","786.75914603484","10","-382.610342248189","51.2214603753847"
"model2174","Surv(Erad_Time, Event) ~ dist + area + SS + public + private + maori + privNumb + maoriNumb + public:private:maori","786.789784873232","22","-367.532297016769","51.2520992137769"
"model10","Surv(Erad_Time, Event) ~ privNumb","786.812083526251","5","-388.203339060423","51.2743978667959"
"model896","Surv(Erad_Time, Event) ~ area + landing + public + maori + maoriNumb + public:maori","786.840326412073","10","-382.650932436806","51.3026407526186"
"model520","Surv(Erad_Time, Event) ~ landing + public + maori + privNumb + public:maori","786.863957888918","9","-383.806978944459","51.3262722294631"
"model3","Surv(Erad_Time, Event) ~ area","786.869285700685","3","-390.354642850342","51.3316000412299"
"model385","Surv(Erad_Time, Event) ~ area + landing + public + privNumb + area:privNumb","786.877543926469","11","-381.509194498446","51.3398582670138"
"model1041","Surv(Erad_Time, Event) ~ landing + public + private + maori + privNumb","786.879029154922","9","-383.814514577461","51.3413434954671"
"model126","Surv(Erad_Time, Event) ~ area + public + privNumb","786.889676729159","7","-386.061276720744","51.351991069704"
"model907","Surv(Erad_Time, Event) ~ area + landing + maori + privNumb + maoriNumb","786.946561130626","11","-381.543703100524","51.4088754711713"
"model396","Surv(Erad_Time, Event) ~ area + landing + privNumb + maoriNumb + area:privNumb","786.967106817426","13","-379.183553408713","51.4294211579715"
"model24","Surv(Erad_Time, Event) ~ area + public","787.082617855093","4","-389.407080739627","51.544932195638"
"model1057","Surv(Erad_Time, Event) ~ public + private + maori + privNumb + maoriNumb","787.092525064391","11","-381.616685067407","51.5548394049359"
"model538","Surv(Erad_Time, Event) ~ public + private + maori + maoriNumb + private:maori","787.121445160379","9","-383.93572258019","51.5837595009242"
"model422","Surv(Erad_Time, Event) ~ area + private + privNumb + maoriNumb","787.152910965203","10","-382.807224713371","51.6152253057479"
"model189","Surv(Erad_Time, Event) ~ landing + private + privNumb","787.180553744093","7","-386.206715228211","51.6428680846379"
"model25","Surv(Erad_Time, Event) ~ area + private","787.333015393281","4","-389.532279508721","51.795329733826"
"model545","Surv(Erad_Time, Event) ~ private + maori + privNumb + maoriNumb + private:maori","787.377749347474","11","-381.759297208948","51.8400636880187"
"model393","Surv(Erad_Time, Event) ~ area + landing + maori + privNumb + area:privNumb","787.438184492721","11","-381.789514781572","51.9004988332663"
"model887","Surv(Erad_Time, Event) ~ area + landing + public + private + privNumb + public:private","787.452489559271","10","-382.957014010405","51.9148038998164"
"model128","Surv(Erad_Time, Event) ~ area + public + maoriNumb","787.469788817603","7","-386.351332764966","51.932103158148"
"model521","Surv(Erad_Time, Event) ~ landing + public + maori + maoriNumb","787.475828753277","8","-385.241362652501","51.9381430938221"
